Municipio,Depto,Censo electoral ,Participacion,Abstencion,Ganador,Votos Validos,Duque,Petro,Voto en Blanco,Nulos ,Tarjetones No Marcados,Votos invalidos
Medellín,Antioquia,1588150,979252,608898,Ivan Duque,965392,698505,207642,59245,1052,12808,13860
Abejorral,Antioquia,14967,7397,7570,Ivan Duque,7293,6572,547,174,36,68,104
Abriaquí,Antioquia,1913,1056,857,Ivan Duque,1045,975,43,27,10,1,11
Alejandría,Antioquia,4549,2343,2206,Ivan Duque,2318,2018,216,84,11,14,25
Amagá,Antioquia,22350,10755,11595,Ivan Duque,10507,8192,1706,609,26,222,248
Amalfi,Antioquia,17182,6394,10788,Ivan Duque,6279,5162,760,357,23,92,115
Andes,Antioquia,34753,16896,17857,Ivan Duque,16684,14161,2020,503,28,184,212
Angelópolis,Antioquia,5812,2777,3035,Ivan Duque,2741,2384,268,89,10,26,36
Angostura,Antioquia,9079,3340,5739,Ivan Duque,3229,2810,276,143,25,86,111
Anorí,Antioquia,11628,3325,8303,Ivan Duque,3263,2217,826,220,24,38,62
Santafé de Antioquia,Antioquia,20540,10277,10263,Ivan Duque,10018,7737,1770,511,56,203,259
Anzá,Antioquia,5771,2918,2853,Ivan Duque,2884,2609,201,74,11,23,34
Apartadó,Antioquia,92620,43518,49102,Gustavo Petro,42848,19443,21476,1929,85,585,670
Arboletes,Antioquia,22416,11172,11244,Ivan Duque,11039,6755,4117,167,32,101,133
Argelia,Antioquia,6570,3334,3236,Ivan Duque,3312,3124,134,54,7,15,22
Armenia,Antioquia,4688,2068,2620,Ivan Duque,2022,1739,215,68,9,37,46
Barbosa,Antioquia,40499,20721,19778,Ivan Duque,20130,14540,4371,1219,67,524,591
Belmira,Antioquia,4750,2269,2481,Ivan Duque,2226,1904,222,100,11,32,43
Bello,Antioquia,331836,179912,151924,Ivan Duque,176553,123720,41733,11100,216,3143,3359
Betania,Antioquia,8342,3550,4792,Ivan Duque,3516,3161,287,68,12,22,34
Betulia,Antioquia,13332,6484,6848,Ivan Duque,6402,5984,295,123,23,59,82
Ciudad Bolívar,Antioquia,23836,11663,12173,Ivan Duque,11543,10044,1161,338,27,93,120
Briceño,Antioquia,6610,2213,4397,Ivan Duque,2119,1360,603,156,32,62,94
Buriticá,Antioquia,7299,2930,4369,Ivan Duque,2849,2211,518,120,24,57,81
Cáceres,Antioquia,19548,5553,13995,Ivan Duque,5459,2853,2462,144,23,71,94
Caicedo,Antioquia,6267,3125,3142,Ivan Duque,3078,2659,325,94,13,34,47
Caldas,Antioquia,63501,37414,26087,Ivan Duque,36197,24691,8582,2924,70,1147,1217
Campamento,Antioquia,6625,1934,4691,Ivan Duque,1902,1581,252,69,9,23,32
Cañasgordas,Antioquia,13434,7262,6172,Ivan Duque,7147,6434,521,192,23,92,115
Caracolí,Antioquia,4710,1854,2856,Ivan Duque,1829,1448,298,83,4,21,25
Caramanta,Antioquia,4992,2432,2560,Ivan Duque,2392,1947,352,93,7,33,40
Carepa,Antioquia,42614,18313,24301,Ivan Duque,17990,8810,8472,708,44,279,323
